ФИО,год рождения,разряд,кю,СШ,тренер
Иван,8151,9595,ыуаыу,кып,ыуаыу
фу4пекв,20508,пуфкпф34,ф4пкв,пуфкп,пф4у
укпф34,6484,4фуп,купф4,укп,ф4уп
уф4п3у4,68468416,вап,4п43р,у4п4,34е43е
Иван,,,,,
фу4пекв,,,,,
укпф34,8151,,,,
уф4п3у4,,,,,
Привет Андрей,2050,9кю,,ыа,мк
аыу,,,,,
Петров,,,,,
Игорь,2010,1кю,,Ростов,ыыы
Артем,67,67,,252,752
Петр,6667,52,,257,75227
попов,641,ыуа,,аыуы,уаыу
Петров,481,564,,ыка,ыуа ы
Екатерина,9416,ыуа,,ыуа,ыа
Хохмянская,981,укпук,,еупк,ыуп
всэ,,,,,
пр,,,,,
в,,,,,
И,,,,,
иван,,,,,
при,,,,,
